Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
VIRIEU,38,"L'enfouissement des réseaux électriques et téléphoniques, champ de Mars et rue de la Gare",100326,10000,DAVID Annie,Sénat
VIRIEU,38,La rénovation de l'ancienne Halle,51000,10000,SAUGEY Bernard,Sénat
VIROFLAY,78,La réhabilitation du gymnase Gaillon,2858166,150000,-,Réserve ministérielle
VIRY,74,Le contournement routier du chef-lieu (tranche conditionnelle),399990,10000,HERISSON Pierre,Sénat
VISAN,84,La rénovation de la mairie,34724,17362,MILON Alain,Sénat
VIS-EN-ARTOIS,62,L'aménagement et l'isolation des locaux de la mairie et l'installation d'une nouvelle chaudière,19352,2000,GENISSON Catherine,Assemblée nationale
VIS-EN-ARTOIS,62,La construction d'un local technique et d'un garage communal,140741,10000,JEANNEROT Claude,Sénat
VISSEICHE,35,"L'acquisition du bâtiment situé 40, rue de Rennes en vue d'y aménager un multi-services",74360,10000,de LEGGE Dominique,Sénat
VITERNE,54,Le renforcement et la mise en sécurité du mur d'enceinte de la cour de l'école communale,56086,15000,-,Réserve ministérielle
VITOT,27,Le remplacement des horloges de commande de l'éclairage public,3411,1000,PONIATOWSKI Ladislas,Sénat
VITRAY,3,L'aménagement du bourg,121767,5000,MALLOT Jean,Assemblée nationale
VITRAY-EN-BEAUCE,28,La pose de fourreaux pour la fibre optique,39832,10000,VIGIER Philippe,Assemblée nationale
VITRAY-EN-BEAUCE,28,La rénovation du réseau d'eau potable (2ème tranche) et la mise en place de la défense incendie,50669,3000,de MONTGOLFIER Albéric,Sénat
VITRE,35,"La réfection de la voirie, rue Pierre et Marie Curie",268194,91000,MEHAIGNERIE Pierre,Assemblée nationale
VITRE,35,L'extension et la réhabilitation du groupe scolaire Pierre Lemaître (2ème tranche),1254180,100000,MEHAIGNERIE Pierre,Assemblée nationale
VITRIMONT,54,"L'aménagement des usoirs publics, rue Crocker, et le remplacement de l'éclairage public, rues Crocker, du Colonel Courtot, de Cissey et de la Fontaine",85892,5000,REINER Daniel,Sénat
VITROLLES,5,"Le remplacement des chaînes du tracteur, l'acquisition d'une débroussailleuse, d'une tronçonneuse, d'un scanner pour le secrétariat et de mobilier pour la salle polyvalente",5872,2936,MARTINEZ Henriette,Assemblée nationale
VITRY-EN-CHAROLLAIS,71,La réfection de la chaufferie du groupe scolaire Jean Gilbert,106065,7000,BEAUMONT René,Sénat
VITRY-LES-CLUNY,71,La mise en accessibilité de la mairie,82443,11000,COURTOIS Jean-Patrick,Sénat
VITRY-SUR-SEINE,94,La réhabilitation du sentier Tissebarbe,442481,33250,GOSNAT Pierre,Assemblée nationale
VITTEAUX,21,"La réfection des rues de l'Hautot, du Meix-Raillon, voie communale n°108 bis et rue des Ponts de Bois suite à l'orage du 9 août 2009",86933,8000,-,Réserve ministérielle
VITTERSBOURG,57,La réfection de la toiture du clocher de l'église,64490,8500,MARTY Alain,Assemblée nationale
VITTERSBOURG,57,L'acquisition d'un photocopieur pour l'école élémentaire,3800,1000,LEROY Philippe,Sénat
VITTERSBOURG,57,"Le remplacement du poteau d'incendie situé devant le 46 A, rue Principale",2820,1000,MASSON Jean-Louis,Sénat
VIVAISE,2,La réfection des portes et des fenêtres de l'école maternelle,35945,5000,LEFEVRE Antoine,Sénat
VIVES,66,Le renouvellement de la canalisation d'adduction d'eau potable entre le réservoir d'Aubiry et la commune de Vivès,181297,10000,IRLES Jacqueline,Assemblée nationale
VIVIERS-DU-LAC,73,L'extension de l'école maternelle (1ère phase),1015474,10000,DORD Dominique,Assemblée nationale
VIVIERS-DU-LAC,73,La construction d'un local technique sous le préau de l'école,160000,20000,RAOUL Daniel,Sénat
VIVIERS-SUR-ARTAUT,10,La réfection de la voirie communale (programme 2012),75643,5000,DHUICQ Nicolas,Assemblée nationale
VIVONNE,86,L'aménagement de la cour de l'école,184875,2000,COUTELLE Catherine,Assemblée nationale
VIVONNE,86,L'aménagement et la sécurisation de la route de Marçay (RD 3),596000,20000,RAFFARIN Jean-Pierre,Sénat
VIZOS,65,La rénovation de la salle de la mairie et du logement communal situé au-dessus,13515,3000,REINER Daniel,Sénat
VOEUIL-ET-GIGET,16,"La mise en sécurité du ""Rocher de Bourisson""",16796,5000,CARRERE Jean-Louis,Sénat
VOGUE,7,"La réfection de la toiture du bâtiment dit  ""La Cure""",29000,9300,FLORY Jean-Claude,Assemblée nationale
VOIGNY,10,La réfection de la toiture de l'Eglise,32008,3000,DHUICQ Nicolas,Assemblée nationale
VOIGNY,10,L'assainissement des eaux usées,1490000,15000,GAILLARD Yann,Sénat
VOILLANS,25,La réfection et l'extension du mur du cimetière,21400,2140,HUMBERT Jean-François,Sénat
VOILLECOMTE,52,La réhabilitation de la salle du conseil municipal situé au rez-de-chaussée du bâtiment de la mairie,25195,7000,CORNUT-GENTILLE François,Assemblée nationale
VOINEMONT,54,La création d'une réserve incendie,13217,4000,HUSSON Jean-François,Sénat
VOISE,28,La réhabilitation de l'ancien presbytère en logement locatif,12017,5000,VIGIER Philippe,Assemblée nationale
VOISEY,52,L'aménagement d'un logement communal dans l'ancienne école,14483,2000,DELONG Sophie,Assemblée nationale
VOISINS-LE-BRETONNEUX,78,La réhabilitation et la mise en accessibilité des allées du cimetière de l'église (tranche ferme et tranche conditionnelle n°1),83683,41800,-,Réserve ministérielle
VOLCKERINCKHOVE,59,L'acquisition de mobilier pour la cantine scolaire,5164,2582,DECOOL Jean-Pierre,Assemblée nationale
VOLMERANGE-LES-MINES,57,La construction d'une annexe des ateliers municipaux,65383,3269,ACCOYER Bernard,Assemblée nationale
VOLMERANGE-LES-MINES,57,La réhabilitation des sanitaires de l'école maternelle,43440,4000,BRICQ Nicole,Sénat
VOLMUNSTER,57,La création d'un restaurant scolaire et d'un accueil périscolaire avec extension en accueil de loisirs à la salle Saint-Pierre,764090,15000,-,Réserve ministérielle
VOLMUNSTER,57,L'acquisition de tondeuses,15587,3000,LE MENN Jacky,Sénat
VOLSTROFF,57,Le remplacement des huisseries du local dédié au périscolaire,6209,3000,GROMMERCH Anne,Assemblée nationale
VOLSTROFF,57,L'acquisition de mobilier scolaire,6671,2000,MASSON Jean-Louis,Sénat
VOLX,4,"Travaux de mise en sécurité des piétons et vélos, chemin Saint-Jean",15651,4695,CARTRON Françoise,Sénat
VONCQ,8,La réfection du mur de soutènement et des cheminées de la mairie,46865,5000,HURE Benoît,Sénat
VOREY-SUR-ARZON,43,L'équipement de l'office de la salle polyvalente,19275,5000,-,Réserve ministérielle
VORGES-LES-PINS,25,La réhabilitation d'une ancienne ferme en salle de convivialité,147835,12000,BRANGET Françoise,Assemblée nationale
VORLY,18,Le remplacement de la chaudière et des canalisations enterrées de l'école,9618,3300,PILLET François,Sénat
VOUDENAY,21,"Le renforcement du pont et l'élargissement de la voie communale n°2, au lieu-dit ""Cornay""",14636,4390,SUGUENOT Alain,Assemblée nationale
VOUDENAY,21,L'identification et la numérotation des maisons du village,5421,1084,HOUPERT Alain,Sénat
VOUE,10,La réfection de la toiture du bâtiment mairie-école,50456,3000,ADNOT Philippe,Sénat
VOUECOURT,52,La construction d'un pôle multi-services,235341,10000,CORNUT-GENTILLE François,Assemblée nationale
VOUECOURT,52,La réhabilitation des sanitaires du camping municipal,120797,10000,SIDO Bruno,Sénat
VOUGEOT,21,La réfection et la sécurisation de la place de la Grande Cave et de son accès depuis la RD122,26477,2000,HOUPERT Alain,Sénat
VOUHENANS,70,Le réaménagement et la mise en accessibilité de la mairie,204000,7000,MICHEL Jean-Pierre,Sénat
VOUILLE,86,La construction d'une chaufferie bois avec réseau de chaleur,308296,3000,COUTELLE Catherine,Assemblée nationale
VOUILLERS,51,La réfection du préau de l'école,81000,30000,de COURSON Charles,Assemblée nationale
VOUJEAUCOURT,25,L'aménagement de l'entrée de ville,929330,10000,MOSCOVICI Pierre,Assemblée nationale
VOULTON,77,La réfection de la voie communale reliant Saint-Martin-des-Champs au Houssay,128100,30000,JACOB Christian,Assemblée nationale
VOULX,77,"Le remplacement de branchements d'eau potable en plomb et la création de nouveaux branchements, rue Dieu",56490,10000,JULIA Didier,Assemblée nationale
VOUNEUIL-SOUS-BIARD,86,L'installation d'un city stade,49946,2000,COUTELLE Catherine,Assemblée nationale
VOUTENAY-SUR-CURE,89,La réfection de la voirie (programme 2012),9607,3250,VILLIERS André,Sénat
VOUTEZAC,19,La construction d'un boulodrome couvert,215600,2500,HOLLANDE François,Assemblée nationale
VOUTEZAC,19,La construction d'une salle multi-activités (tranche 2012),310000,5000,LE MENN Jacky,Sénat
VOUZAILLES,86,L'extension et le réaménagement des sanitaires de la salle des fêtes,54400,13000,CLAEYS Alain,Assemblée nationale
VOUZON,41,La restauration de l'église Saint-Pierre (1ère tranche),226105,25000,MARTIN-LALANDE Patrice,Assemblée nationale
VOVES,28,L'aménagement d'un terrain multisports,29800,5000,BILLARD Joël,Sénat
VOVRAY-EN-BORNES,74,La mise en conformité de la défense incendie (1ère tranche),59318,15000,CARLE Jean-Claude,Sénat
VRAINCOURT,52,La mise aux normes du réseau d'eau potable,71493,12000,CORNUT-GENTILLE François,Assemblée nationale
VRITZ,44,L'aménagement du secteur de la Grée Saint-Jacques,575509,30000,-,Réserve ministérielle
VRON,80,La consolidation et la restauration des voûtes du choeur de l'église,73294,7500,MARTIN Pierre,Sénat
VUILLAFANS,25,"La construction d'un bâtiment destiné à l'aménagement de la Mairie, de l'agence postale et du CPI",441994,10000,JEANNEROT Claude,Sénat
VULMONT,57,L'aménagement de la rue principale,47164,4700,JACQUAT Denis,Assemblée nationale
VYANS-LE-VAL,70,La construction d'une salle des fêtes,648939,2000,VILLAUME Jean-Michel,Assemblée nationale
VYANS-LE-VAL,70,L'acquisition de matériel et de mobilier pour la salle des fêtes,15887,5000,MICHEL Jean-Pierre,Sénat
WACQUEMOULIN,60,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,9107,2500,DASSAULT Olivier,Assemblée nationale
WAGNON,8,La mise en place de trottoirs et de bordures le long de la route départementale n°35 (programme 2012),139050,9000,POLETTI Bérengère,Assemblée nationale
WAILLY-LES-ARRAS,62,L'extension et la réfection de la salle polyvalente,469850,6200,VANLERENBERGHE Jean-Marie,Sénat
WALDHOUSE,57,L'aménagement de la rue de la Forêt,324024,11000,-,Réserve ministérielle
WALDOLWISHEIM,67,La réhabilitation de l'ancien presbytère en mairie,253510,30000,BLESSIG Emile,Assemblée nationale
WALDWISSE,57,"L'aménagement d'une classe supplémentaire, d'une salle informatique et d'une rampe d'accès à l'école primaire",52790,3000,BRICQ Nicole,Sénat
WALHEIM,68,La restructuration de l'ancien presbytère en mairie,879436,20000,TROENDLE Catherine,Sénat
WALLERS-ARENBERG,59,La réhabilitation de la salle des fêtes d'Arenberg,1446538,20000,LECERF Jean-René,Sénat
WAMBAIX,59,La mise en sécurité de la charpente de l'église,4950,2475,RAOUL Daniel,Sénat
WAMBRECHIES,59,L'édification d'une stèle en hommage aux fusillés du Vert Galant,32006,15000,DEMESSINE Michelle,Sénat
WAMBRECHIES,59,L'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,7096,3548,TÜRK Alex,Sénat
WANCOURT,62,L'acquisition d'un tableau blanc interactif pour l'école,3517,1758,VANLERENBERGHE Jean-Marie,Sénat
WANDIGNIES-HAMAGE,59,"La construction de trottoirs, rue Jean-Jaurès",121702,30875,CANDELIER Jean-Jacques,Assemblée nationale
WANGEN,67,L'aménagement d'une sortie de secours accessible aux handicapés au sous-sol de la salle des fêtes,4260,2130,KELLER Fabienne,Sénat
WARGNIES-LE-GRAND,59,L'acquisition d'un défibrillateur cardiaque automatique et d'une armoire externe,1800,900,TÜRK Alex,Sénat
WARGNIES-LE-PETIT,59,La construction d'une salle des fêtes,1118382,20000,-,Réserve ministérielle
WARLOY-BAILLON,80,L'aménagement d'un terrain de ballon au poing,52975,5000,GEST Alain,Assemblée nationale
WARLUS,80,La réfection du mur de clôture du cimetière,13171,2000,BIGNON Jérôme,Assemblée nationale
WARNECOURT,8,L'extension et l'aménagement du cimetière,118185,2000,VUILQUE Philippe,Assemblée nationale
WARSY,80,L'acquisition et l'installation de radars pédagogiques,4670,1000,DUBOIS Daniel,Sénat
WASIGNY,8,La restauration des vitraux de l'église,16728,5000,POLETTI Bérengère,Assemblée nationale
WASSELONNE,67,"La mise aux normes d'accessibilité et de sécurité du bâtiment ""Romantica""",269143,1700,KELLER Fabienne,Sénat
WASSERBOURG,68,"La restructuration et la réfection de la salle des fêtes, de la salle annexe et de l'entrée de la mairie",881300,20000,CHRIST Jean-Louis,Assemblée nationale
WATTIGNIES-LA-VICTOIRE,59,Le remplacement de la porte de la grange communale située rue du Général de Gaulle,8224,4100,MARIN Christine,Assemblée nationale
WATTRELOS,59,L'installation de poubelles ludiques dans les cours de récréation,18750,8000,BAERT Dominique,Assemblée nationale
WATTRELOS,59,L'acquisition d'équipements permettant l'accès à la baignade aux personnes à mobilité réduite,10886,5000,BAERT Dominique,Assemblée nationale
WATTWILLER,68,L'extension et la réhabilitation du complexe Katia et Maurice Krafft,1665000,90000,BOCKEL Jean-Marie,Sénat
WAVILLE,54,La restauration des abat-sons du clocher et de l'horloge de l'église Saint-Hubert,17933,2300,LE DEAUT Jean-Yves,Assemblée nationale
WAVRECHAIN-SOUS-DENAIN,59,La construction de vestiaires et d'un club house dans le stade Jean-Baptiste Donain,322200,10000,DEMESSINE Michelle,Sénat
WAVRILLE,55,L'aménagement d'une allée d'accès à la mairie et d'un parking,4489,1000,DUMONT Jean-Louis,Assemblée nationale
WEISLINGEN,67,La construction d'une salle polyvalente,1277444,12774,BLESSIG Emile,Assemblée nationale
WENTZWILLER,68,L'aménagement de la place de l'Eglise (1ère tranche),231040,10000,TROENDLE Catherine,Sénat
WEST-CAPPEL,59,L'acquisition de parcelles de terrain en vue d'y construire une salle et une mairie,85000,15000,DECOOL Jean-Pierre,Assemblée nationale
WESTHOFFEN,67,L'aménagement du parvis de l'Eglise Protestante (tranche ferme),495995,15350,REICHARDT André,Sénat
WICRES,59,L'extension et la réhabilitation de la mairie,671456,30000,HUYGHE Sébastien,Assemblée nationale
WIDEHEM,62,La construction d'un garage,21010,5000,FASQUELLE Daniel,Assemblée nationale
WIGNEHIES,59,La mise aux normes de l'éclairage public (programme 2012),10015,5000,MARIN Christine,Assemblée nationale
WIGNEHIES,59,L'acquisition de matériel informatique pour les écoles,8601,4000,PERAT Jean-Luc,Assemblée nationale
WILLERONCOURT,55,La restauration du lavoir-fontaine,94880,10000,NAMY Christian,Sénat
WILLERVAL,62,L'extension et la réhabilitation de la mairie,505500,10000,JEANNEROT Claude,Sénat
WINDSTEIN,67,La mise en accessibilité de la mairie,13742,5000,REICHARDT André,Sénat
WINTERSBOURG,57,L'acquisition de matériel informatique pour la mairie,1335,667,MASSON Jean-Louis,Sénat
WISEMBACH,88,L'extension du réseau électrique du quartier de l'usine,17983,5600,ACCOYER Bernard,Assemblée nationale
WISEPPE,55,La mise aux normes du marquage au sol des carrefours et le renouvellement des panneaux de signalisation routière,3277,600,LEONARD Claude,Sénat
WISSEMBOURG,67,La construction d'un nouvel orgue dans l'église protestante Saint-Jean,680570,30000,-,Réserve ministérielle
WISSEMBOURG,67,L'aménagement d'une Maison des associations et des services,231920,17600,RAOUL Daniel,Sénat
WITTENHEIM,68,"La réhabilitation en Maison de la solidarité du bâtiment sis 33, rue d'Ensisheim",742987,9500,BOCKEL Jean-Marie,Sénat
WITTERSHEIM,67,L'aménagement et la mise en accessibilité de la place de l'Eglise,80000,3600,KELLER Fabienne,Sénat
WOELFLING-LES-SARREGUEMINES,57,"L'aménagement d'une aire de jeux au lieu-dit "" Dorfallmend""",13910,2500,BRICQ Nicole,Sénat
WOIGNARUE,80,L'équipement informatique des écoles,10842,5400,DENEUX Marcel,Sénat
WOLSCHHEIM,67,L'amélioration de l'accessibilité de la mairie et le remplacement de la chaudière du bâtiment école-mairie,111297,3688,KELLER Fabienne,Sénat
WUENHEIM,68,La réhabilitation du refuge du Sudel,89000,10000,SORDI Michel,Assemblée nationale
XAFFEVILLERS,88,La rénovation de la salle polyvalente,220000,10000,HEINRICH Michel,Assemblée nationale
XAINTRAY,79,La restauration intérieure de l'église Saint-Eugène (2ème tranche),127564,20000,-,Réserve ministérielle
XAMBES,16,L'aménagement d'une rampe d'accès pour handicapés à la mairie,16593,2000,LAMBERT Jérôme,Assemblée nationale
XANREY,57,L'acquisition de mobilier pour le foyer rural,5655,2820,MARTY Alain,Assemblée nationale
XARONVAL,88,La rénovation du logement communal situé au dessus de l'école,153415,7000,GAULTIER Jean-Jacques,Assemblée nationale
XERMAMENIL,54,La mise en accessibilité de l'école et de l'accueil périscolaire,16610,3000,HUSSON Jean-François,Sénat
XERTIGNY,88,La réfection de la voirie (programme 2011),267769,10000,HEINRICH Michel,Assemblée nationale
XEUILLEY,54,"La requalification de la rue ""Sous les Vignes""",229435,20000,-,Réserve ministérielle
XOUSSE,54,"L'enfouissement des réseaux secs situés en haut du village, des numéros 1 à 15 et 2 à 8 (4ème tranche)",123079,6000,HUSSON Jean-François,Sénat
XURES,54,La réfection de la route de Moncourt et du chemin d'accès à la salle communale,19388,5000,DIDIER Evelyne,Sénat
YERMENONVILLE,28,La construction d'un local technique,83179,6000,CORNU Gérard,Sénat
YERRES,91,L'extension de la Maison de quartier du Taillis,129800,50000,DUPONT-AIGNAN Nicolas,Assemblée nationale
YGOS-SAINT-SATURNIN,40,La mise aux normes de sécurité et d'accessibilité des vestiaires du stade,251050,10000,EMMANUELLI Henri,Assemblée nationale
YMONVILLE,28,"L'aménagement d'un city-stade, rue de la Pierre Levée",52985,5000,CORNU Gérard,Sénat
