Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
AMAGNE,L'acquisition d'un ordinateur pour la mairie,897,448,LAMENIE Marc,Sénat,"0,4994425864",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
AMAGNEY,La construction d'un bâtiment mairie-salle socioculturelle et l'aménagement d'un espace public au centre du village,1260557,5000,GROSPERRIN Jacques,Assemblée nationale,"0,0039665005",25,UMP,http://2007.nosdeputes.fr/GROSPERRIN%20Jacques/xml
AMANCE,"L'aménagement de la voirie et des réseaux divers, chemin des Vignes Leduc",149949,23000,HENART Laurent,Assemblée nationale,"0,1533854844",54,UMP,http://2007.nosdeputes.fr/HENART%20Laurent/xml
AMANCE,"L'aménagement de la voirie, rue Saint-Martin et chemin d'Unienville",19930,2500,ADNOT Philippe,Sénat,"0,1254390366",10,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
AMARENS,L'acquisition de matériel et de mobilier pour la salle de réunion du conseil municipal,10869,3000,VALAX Jacques,Assemblée nationale,"0,2760143527",81,SRC,http://2007.nosdeputes.fr/VALAX%20Jacques/xml
AMAYE-SUR-ORNE,Des aménagements de sécurité dans le bourg,19059,1900,COUSIN Jean-Yves,Assemblée nationale,"0,099690435",14,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
AMBAX,La réfection de la toiture de l'ancien presbytère,32248,10000,CHATILLON Alain,Sénat,"0,3100967502",31,UMP,http://nossenateurs.fr/CHATILLON%20Alain/xml
AMBERRE,L'aménagement et la sécurisation de la rue de Rigny,109962,13000,CLAEYS Alain,Assemblée nationale,"0,1182226587",86,SRC,http://2007.nosdeputes.fr/CLAEYS%20Alain/xml
AMBERT,L'équipement en matériel de l'espace multi-activités (musique et danse),10241,5000,CHASSAIGNE André,Assemblée nationale,"0,4882335709",63,GDR,http://2007.nosdeputes.fr/CHASSAIGNE%20André/xml
AMBIALET,L'acquisition d'une épareuse,25822,500,VALAX Jacques,Assemblée nationale,"0,0193633336",81,SRC,http://2007.nosdeputes.fr/VALAX%20Jacques/xml
AMBLEON,La réfection des toitures de la chapelle et d'un local communal,8750,4300,BLANC Etienne,Assemblée nationale,"0,4914285714",1,UMP,http://2007.nosdeputes.fr/BLANC%20Etienne/xml
AMBLEVILLE,L'aménagement de la place du Château,129909,2000,SUEUR Jean-Pierre,Sénat,"0,0153953922",16,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
AMBOISE,La construction d'une salle de quartier et d'un équipement sportif lié au boulodrome,202000,11500,HERVIAUX Odette,Sénat,"0,0569306931",37,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
AMBRIERES-LES-VALLEES,L'aménagement de la rue Notre-Dame,254389,50000,0,Réserve ministérielle,"0,1965493791",53,,
